timestamp,uid,src_ip,src_port,dst_ip,dst_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,label,attack_category,dataset,bytes_ratio,packet_ratio,bytes_per_pkt,duration_cat,port_category
74437.0,CICIOT_74437,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,S0,60,40,DDoS-SynonymousIP_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
89241.0,CICIOT_89241,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,8187.0,5458.0,OTH,6,4,MITM-ArpSpoofing,Unknown,CICIoT2023,0.6,0.6,1364.5,instant,system
249887.0,CICIOT_249887,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,OTH,60,40,DDoS-PSHACK_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
3916.0,CICIOT_3916,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,378.0,252.0,OTH,6,4,DictionaryBruteForce,Unknown,CICIoT2023,0.6,0.6,63.0,instant,system
269645.0,CICIOT_269645,0.0.0.0,0,0.0.0.0,0,UDP,other,0.0,807.0,538.0,OTH,6,4,VulnerabilityScan,Unknown,CICIoT2023,0.6,0.6,134.5,instant,system
118665.0,CICIOT_118665,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3637.0,2425.0,OTH,60,40,DDoS-TCP_Flood,DDoS,CICIoT2023,0.6,0.6,60.62,instant,system
23462.0,CICIOT_23462,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3692.0,2461.0,S0,60,40,DDoS-SYN_Flood,DDoS,CICIoT2023,0.6,0.6,61.53,instant,system
166138.0,CICIOT_166138,0.0.0.0,0,0.0.0.0,0,UDP,other,0.0,1614.0,1076.0,OTH,6,4,DNS_Spoofing,Unknown,CICIoT2023,0.6,0.6,269.0,instant,system
203164.0,CICIOT_203164,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,S0,60,40,DDoS-SYN_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
160761.0,CICIOT_160761,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,OTH,60,40,DDoS-PSHACK_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
128159.0,CICIOT_128159,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,1423.0,948.0,OTH,6,4,Benign,Benign,CICIoT2023,0.6002,0.6,237.1,instant,system
268179.0,CICIOT_268179,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,S0,60,40,DDoS-SynonymousIP_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
2695.0,CICIOT_2695,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,3600.0,2400.0,OTH,60,40,DDoS-PSHACK_Flood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
1050.0,CICIOT_1050,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,18854.0,12569.0,SF,60,40,DDoS-HTTP_Flood-,Unknown,CICIoT2023,0.6,0.6,314.23,instant,system
252599.0,CICIOT_252599,0.0.0.0,0,0.0.0.0,0,TCP,https,0.0,3600.0,2400.0,OTH,60,40,DDoS-RSTFINFlood,DDoS,CICIoT2023,0.6,0.6,60.0,instant,system
17135.0,CICIOT_17135,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,1338.0,892.0,SF,6,4,VulnerabilityScan,Unknown,CICIoT2023,0.6,0.6,223.0,instant,system
355236.0,CICIOT_355236,0.0.0.0,0,0.0.0.0,0,TCP,https,0.0,14296.0,9531.0,OTH,6,4,Benign,Benign,CICIoT2023,0.6,0.6,2382.7,instant,system
55895.0,CICIOT_55895,0.0.0.0,0,0.0.0.0,0,TCP,other,0.0,2404.0,1602.0,OTH,6,4,Benign,Benign,CICIoT2023,0.6001,0.6,400.6,instant,system
