timestamp,uid,src_ip,src_port,dst_ip,dst_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,label,attack_category,dataset,bytes_ratio,packet_ratio,bytes_per_pkt,duration_cat,port_category
1526244175.03384,C7zDnC4IMW8o78Tu9h,192.168.100.103,54974,32.7.193.203,23,TCP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,well-known
1526880477.57233,Cxyf9EagAQAyNBri2,192.168.2.5,39044,137.215.10.41,22,TCP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,well-known
1526003588.040977,C0lPaF3yRunO1Pikh2,192.168.100.103,52758,9.37.154.61,23,TCP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,well-known
1526055630.009761,CVmdHyBpzqREfshIc,192.168.100.103,43763,30.58.164.37,22324,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,registered
1526177854.017702,CByfaK3FBUHVfSEIm5,192.168.100.103,43763,64.240.169.147,35033,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,registered
1526108083.004383,CsBBxJ3vDAGgazcvX7,192.168.100.103,43763,106.62.253.230,16411,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,registered
1526803616.521408,CWf7Gy3kAzhynNfwSe,192.168.2.5,57369,144.137.29.82,22,TCP,unknown,2.990195,0.0,0.0,S0,3,0,Benign,Benign,IoT-23,0.0,1.0,0.33,medium,well-known
1525892965.012151,C1FMCM2nE1MLF8o1Xf,192.168.100.103,43591,73.30.219.221,23,TCP,unknown,2.99878,0.0,0.0,S0,3,0,Benign,Benign,IoT-23,0.0,1.0,0.33,medium,well-known
1526257010.025268,CaPzmC3H57f7ggOHL2,192.168.100.103,43763,135.50.149.198,26262,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,registered
1526881846.454469,CcDNKA1E8YxHgkReje,192.168.2.5,54937,137.74.205.120,22,TCP,ssh,1.986639,589.0,1817.0,SF,15,11,Benign,Benign,IoT-23,0.2448,0.5769,92.54,medium,well-known
1526134703.013126,CwjxFIp65ZvThPZ4e,192.168.100.103,43763,222.2.140.124,52591,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,dynamic
1525943572.995534,CVSlIG305bfPSWWSd4,192.168.100.103,43763,26.248.34.244,52284,UDP,unknown,0.0,0.0,0.0,S0,1,0,Benign,Benign,IoT-23,0.0,1.0,1.0,instant,dynamic
